Layer_ID,Layer_Name_TH,Geometry_Type,Template_File,Field_Name,Field_Label_TH,Data_Type,Description,Allowed_Values_Examples,Required,Responsible_Division
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,building_id,รหัสประจำตัวอาคาร,String,รหัสอ้างอิงเฉพาะของอาคารแต่ละหลัง,BLD-0101-001,บังคับ,กองช่าง / กองคลัง (แผนที่ภาษี)
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,building_name,ชื่ออาคาร/สถานที่,String,ชื่ออาคารหรือชื่อสถานที่สำคัญ,ที่ว่าการเทศบาลตำบลเด่นชัย,ไม่บังคับ,กองช่าง
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,house_no,เลขที่บ้าน,String,เลขที่บ้านตามทะเบียนราษฎร์,199 / 12/4,ไม่บังคับ,สำนักปลัด (งานทะเบียน)
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,community_name,ชื่อชุมชน/หมู่บ้าน,String,ชื่อหมู่บ้านหรือชุมชนที่อาคารตั้งอยู่,ชุมชนบ้านเด่นชัยพัฒนา,ไม่บังคับ,สำนักปลัด
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,moo_no,หมู่ที่,Integer,หมายเลขหมู่ที่ (1-N),1 / 2 / 3,ไม่บังคับ,สำนักปลัด
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,building_type,ประเภทการใช้งานหลัก,String,ประเภทการใช้ประโยชน์อาคารตามผังเมือง,residential (ที่พักอาศัย) / commercial (พาณิชย์) / government (ราชการ) / religious (ศาสนสถาน) / industrial (โรงงาน) / educational (สถานศึกษา) / agricultural (เกษตรกรรม),บังคับ,กองช่าง / กองคลัง
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,num_floors,จำนวนชั้น,Integer,จำนวนชั้นความสูงของอาคาร,1 / 2 / 3 / 4,ไม่บังคับ,กองช่าง
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,structure_type,ชนิดโครงสร้างอาคาร,String,วัสดุโครงสร้างหลักของอาคาร,rc_concrete (คสล.) / wood (ไม้) / steel (เหล็ก) / mixed (ครึ่งตึกครึ่งไม้),ไม่บังคับ,กองช่าง
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,roof_material,วัสดุมุงหลังคา,String,ชนิดของวัสดุมุงหลังคา,concrete_slab (ดาดฟ้าคอนกรีต) / metal_sheet (เมทัลชีท) / tile (กระเบื้อง) / zinc (สังกะสี),ไม่บังคับ,กองช่าง
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,roof_area_sqm,พื้นที่หลังคารวม (ตร.ม.),Float,พื้นที่ผิวหลังคารวมจากการคำนวณ 3D,180.50 / 650.00,ไม่บังคับ,กองช่าง / งาน AI
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,solar_pv_installed,สถานะการติดโซลาร์เซลล์,Boolean,มีการติดตั้งระบบ Solar Rooftop แล้วหรือไม่,true (ติดตั้งแล้ว) / false (ยังไม่ติดตั้ง),ไม่บังคับ,กองช่าง / Smart City
1,อาคารและสิ่งปลูกสร้าง,Polygon,template_buildings.geojson,notes,หมายเหตุ,String,รายละเอียดบันทึกเพิ่มเติม,อาคารหลักสำนักงานเทศบาล,ไม่บังคับ,กองช่าง
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,pole_id,รหัสเสาไฟ/โคมไฟ,String,รหัสประจำต้นของเสาไฟหรือโคมไฟ,POLE-DC-001,บังคับ,กองช่าง (งานไฟฟ้าสาธารณะ)
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,pole_owner,หน่วยงานเจ้าของเสา,String,หน่วยงานที่รับผิดชอบตัวเสาไฟ,municipality (เทศบาล) / pea (กฟภ.) / highway (กรมทางหลวง),บังคับ,กองช่าง
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,lamp_type,ชนิดของหลอดไฟ,String,เทคโนโลยีหลอดไฟส่องสว่าง,led (แอลอีดี) / solar_led (โซลาร์เซลล์) / hps (หลอดส้มไฮเพรสเชอร์) / fluorescent (หลอดนีออน),บังคับ,กองช่าง
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,wattage_w,กำลังไฟฟ้า (วัตต์),Integer,ขนาดกำลังวัตต์ของหลอดไฟ,60 / 100 / 150 / 250 / 400,ไม่บังคับ,กองช่าง
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,pole_height_m,ความสูงเสา (เมตร),Float,ความสูงของเสาไฟจากระดับพื้น,6.0 / 8.0 / 9.0 / 12.0,ไม่บังคับ,กองช่าง
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,power_source,แหล่งพลังงาน,String,ที่มาของพลังงานไฟฟ้า,grid (ต่อไฟสายส่ง) / solar (โซลาร์เซลล์อิสระ),ไม่บังคับ,กองช่าง
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,status,สถานะการทำงาน,String,สภาพการส่องสว่างปัจจุบัน,normal (ติดปกติ) / damaged (ดับ/ชำรุด) / pending_repair (รอดำเนินการซ่อม),บังคับ,กองช่าง / ศูนย์รับเรื่องราวร้องทุกข์
2,เสาไฟฟ้าและโคมไฟส่องสว่าง,Point,template_streetlights.geojson,road_name,ชื่อถนน/ซอยที่ติดตั้ง,String,ชื่อสายทางที่เสาไฟตั้งอยู่,ถนนเด่นชัย-แพร่ (ทล.101) / ซอยร่วมใจ,ไม่บังคับ,กองช่าง
